Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,
341,0.199763045,,,,,,,,,,,,,,,,,,,
340,0.204438061,,,,,,,,,,,,,,,,,,,
339,0.208739206,,,,,,,,,,,,,,,,,,,
338,0.213186875,,,,,,,,,,,,,,,,,,,
337,0.218406498,,,,,,,,,,,,,,,,,,,
336,0.223599076,,,,,,,,,,,,,,,,,,,
335,0.228217855,,,,,,,,,,,,,,,,,,,
334,0.233789727,,,,,,,,,,,,,,,,,,,
333,0.238565251,,,,,,,,,,,,,,,,,,,
332,0.243865594,,,,,,,,,,,,,,,,,,,
331,0.249115691,,,,,,,,,,,,,,,,,,,
330,0.252150804,,,,,,,,,,,,,,,,,,,
329,0.256555647,,,,,,,,,,,,,,,,,,,
328,0.261192143,,,,,,,,,,,,,,,,,,,
327,0.26648131,,,,,,,,,,,,,,,,,,,
326,0.270687729,,,,,,,,,,,,,,,,,,,
325,0.27414918,,,,,,,,,,,,,,,,,,,
324,0.278903902,,,,,,,,,,,,,,,,,,,
323,0.282078594,,,,,,,,,,,,,,,,,,,
322,0.287223071,,,,,,,,,,,,,,,,,,,
321,0.291386068,,,,,,,,,,,,,,,,,,,
320,0.295269132,,,,,,,,,,,,,,,,,,,
319,0.298977584,,,,,,,,,,,,,,,,,,,
318,0.303636134,,,,,,,,,,,,,,,,,,,
317,0.308307737,,,,,,,,,,,,,,,,,,,
316,0.313820928,,,,,,,,,,,,,,,,,,,
315,0.317223162,,,,,,,,,,,,,,,,,,,
314,0.321706444,,,,,,,,,,,,,,,,,,,
313,0.326591909,,,,,,,,,,,,,,,,,,,
312,0.331558973,,,,,,,,,,,,,,,,,,,
311,0.336174429,,,,,,,,,,,,,,,,,,,
310,0.34059608,,,,,,,,,,,,,,,,,,,
309,0.344453543,,,,,,,,,,,,,,,,,,,
308,0.349059701,,,,,,,,,,,,,,,,,,,
307,0.354547262,,,,,,,,,,,,,,,,,,,
306,0.359488905,,,,,,,,,,,,,,,,,,,
305,0.364001304,,,,,,,,,,,,,,,,,,,
304,0.368488014,,,,,,,,,,,,,,,,,,,
303,0.373189718,,,,,,,,,,,,,,,,,,,
302,0.379889846,,,,,,,,,,,,,,,,,,,
301,0.384187698,,,,,,,,,,,,,,,,,,,
300,0.388982117,,,,,,,,,,,,,,,,,,,
299,0.394073397,,,,,,,,,,,,,,,,,,,
298,0.400648415,,,,,,,,,,,,,,,,,,,
